#time_s,time_m,time_e,pos,fwhm,slit1,slit2,slit3,slit4
2013-11-27T00:52:06,2013-11-27T08:03:55,2013-11-27T15:15:45,575.175,5.2456,527.34,566.71,588.71,614.12
2013-12-03T04:40:45,2013-12-03T14:03:51,2013-12-03T23:26:58,548.683,19.6186,527.34,566.71,588.71,614.12
2013-12-19T00:00:00,2013-12-19T06:55:06,2013-12-19T13:50:13,575.779,6.94356,527.34,566.71,588.71,614.12
2013-12-20T18:04:08,2013-12-20T20:15:43,2013-12-20T22:27:19,574.787,5.81182,527.34,566.71,588.71,614.12
2013-12-21T18:49:25,2013-12-21T21:01:42,2013-12-21T23:14:00,575.917,5.37585,527.34,566.71,588.71,614.12
2013-12-22T00:07:42,2013-12-22T07:38:43,2013-12-22T15:09:44,574.962,5.41541,527.34,566.71,588.71,614.12
2013-12-23T18:33:54,2013-12-23T21:16:56,2013-12-23T23:59:58,575.477,5.48787,527.34,566.71,588.71,614.12
2013-12-24T00:00:00,2013-12-24T11:53:49,2013-12-24T23:47:39,575.431,5.83434,527.34,566.71,588.71,614.12
2013-12-25T00:37:26,2013-12-25T12:18:42,2013-12-25T23:59:58,575.513,5.9608,527.34,566.71,588.71,614.12
2013-12-26T00:00:00,2013-12-26T11:47:20,2013-12-26T23:34:40,575.606,5.61822,527.34,566.71,588.71,614.12
2013-12-27T01:05:17,2013-12-27T12:30:06,2013-12-27T23:54:56,575.543,5.69891,527.34,566.71,588.71,614.12
2013-12-28T00:01:12,2013-12-28T10:47:13,2013-12-28T21:33:14,575.343,5.80273,527.34,566.71,588.71,614.12
2013-12-30T09:47:02,2013-12-30T16:53:30,2013-12-30T23:59:58,575.746,6.00826,527.34,566.71,588.71,614.12
2013-12-31T00:00:00,2013-12-31T11:57:44,2013-12-31T23:55:29,575.588,5.66578,527.34,566.71,588.71,614.12
2014-01-01T00:42:54,2014-01-01T12:21:26,2014-01-01T23:59:58,575.39,5.23679,527.34,566.71,588.71,614.12
2014-01-02T00:00:00,2014-01-02T11:51:19,2014-01-02T23:42:38,575.972,5.96852,527.34,566.71,588.71,614.12
2014-01-03T00:29:39,2014-01-03T12:11:49,2014-01-03T23:54:00,575.039,6.03001,527.34,566.71,588.71,614.12
2014-01-04T00:15:21,2014-01-04T11:52:38,2014-01-04T23:29:56,575.371,5.44113,527.34,566.71,588.71,614.12
2014-01-05T00:16:26,2014-01-05T11:57:28,2014-01-05T23:38:31,575.797,5.90794,527.34,566.71,588.71,614.12
2014-01-06T00:02:38,2014-01-06T11:40:00,2014-01-06T23:17:23,575.326,6.01067,527.34,566.71,588.71,614.12
2014-01-08T00:00:00,2014-01-08T11:59:59,2014-01-08T23:59:58,575.711,5.62722,527.34,566.71,588.71,614.12
2014-01-09T00:00:00,2014-01-09T11:55:57,2014-01-09T23:51:54,576.006,5.65026,527.34,566.71,588.71,614.12
2014-01-10T00:36:27,2014-01-10T12:14:30,2014-01-10T23:52:34,575.164,5.66677,527.34,566.71,588.71,614.12
2014-01-11T00:26:53,2014-01-11T12:03:26,2014-01-11T23:39:59,575.601,5.59025,527.34,566.71,588.71,614.12
2014-01-12T00:23:28,2014-01-12T12:00:13,2014-01-12T23:36:59,575.729,6.07169,527.34,566.71,588.71,614.12
2014-01-13T00:13:44,2014-01-13T11:51:04,2014-01-13T23:28:25,575.312,6.0576,527.34,566.71,588.71,614.12
2014-01-16T00:00:00,2014-01-16T09:46:48,2014-01-16T19:33:36,575.313,5.52271,527.34,566.71,588.71,614.12
2014-01-17T09:35:10,2014-01-17T16:43:06,2014-01-17T23:51:03,575.29,5.40104,527.34,566.71,588.71,614.12
2014-01-18T00:37:52,2014-01-18T11:44:03,2014-01-18T22:50:15,574.901,5.29338,527.34,566.71,588.71,614.12
2014-01-20T10:10:40,2014-01-20T16:56:12,2014-01-20T23:41:45,575.27,5.30154,527.34,566.71,588.71,614.12
2014-01-21T00:20:40,2014-01-21T11:31:56,2014-01-21T22:43:13,575.904,5.20909,527.34,566.71,588.71,614.12
2014-01-22T00:12:08,2014-01-22T11:51:29,2014-01-22T23:30:50,576.018,5.4552,527.34,566.71,588.71,614.12
2014-01-23T00:09:45,2014-01-23T12:04:51,2014-01-23T23:59:58,575.63,5.76562,527.34,566.71,588.71,614.12
2014-01-24T00:00:00,2014-01-24T11:59:59,2014-01-24T23:59:58,575.742,5.2287,527.34,566.71,588.71,614.12
2014-01-25T00:00:00,2014-01-25T11:59:59,2014-01-25T23:59:58,576.012,5.46833,527.34,566.71,588.71,614.12
2014-01-26T00:00:00,2014-01-26T11:33:50,2014-01-26T23:07:41,575.93,5.70105,527.34,566.71,588.71,614.12
2014-01-27T00:38:39,2014-01-27T06:58:02,2014-01-27T13:17:26,575.286,5.17226,527.34,566.71,588.71,614.12
2014-01-28T20:34:57,2014-01-28T21:45:11,2014-01-28T22:55:26,574.451,5.43998,527.34,566.71,588.71,614.12
2014-01-29T00:26:15,2014-01-29T12:04:12,2014-01-29T23:42:10,575.667,5.8442,527.34,566.71,588.71,614.12
2014-01-30T00:24:38,2014-01-30T10:40:25,2014-01-30T20:56:12,575.313,5.56084,527.34,566.71,588.71,614.12
2014-02-01T01:58:38,2014-02-01T12:14:05,2014-02-01T22:29:33,575.122,5.70128,527.34,566.71,588.71,614.12
2014-02-02T00:01:03,2014-02-02T00:33:24,2014-02-02T01:05:46,574.447,5.3924,527.34,566.71,588.71,614.12
2014-02-03T23:45:40,2014-02-03T23:52:49,2014-02-03T23:59:58,576.54,5.04361,527.34,566.71,588.71,614.12
2014-02-04T00:00:00,2014-02-04T11:31:34,2014-02-04T23:03:08,575.085,5.36405,527.34,566.71,588.71,614.12
2014-02-05T00:30:57,2014-02-05T12:09:06,2014-02-05T23:47:16,575.3,6.02824,527.34,566.71,588.71,614.12
2014-02-06T20:35:45,2014-02-06T21:42:50,2014-02-06T22:49:56,575.951,5.58917,527.34,566.71,588.71,614.12
2014-02-07T00:15:25,2014-02-07T11:55:56,2014-02-07T23:36:28,575.332,5.57813,527.34,566.71,588.71,614.12
2014-02-08T00:22:27,2014-02-08T10:36:33,2014-02-08T20:50:39,575.047,5.73409,527.34,566.71,588.71,614.12
2014-02-11T00:00:00,2014-02-11T11:59:49,2014-02-11T23:59:38,595,6.0953,527.34,566.71,588.71,614.12
2014-02-12T00:29:26,2014-02-12T12:13:06,2014-02-12T23:56:47,575.819,6.22509,527.34,566.71,588.71,614.12
2014-02-13T00:43:36,2014-02-13T10:04:07,2014-02-13T19:24:39,575.4,5.56339,527.34,566.71,588.71,614.12
2014-02-14T17:49:21,2014-02-14T20:46:29,2014-02-14T23:43:37,575.13,5.36961,527.34,566.71,588.71,614.12
2014-02-15T00:30:34,2014-02-15T12:15:16,2014-02-15T23:59:58,575.341,5.88078,527.34,566.71,588.71,614.12
2014-02-16T00:00:00,2014-02-16T09:59:09,2014-02-16T19:58:18,575.384,5.46135,527.34,566.71,588.71,614.12
2014-02-18T17:23:31,2014-02-18T20:20:38,2014-02-18T23:17:46,575.557,5.54578,527.34,566.71,588.71,614.12
2014-02-19T00:04:55,2014-02-19T12:02:26,2014-02-19T23:59:58,575.342,5.3967,527.34,566.71,588.71,614.12
2014-02-20T00:00:00,2014-02-20T11:59:52,2014-02-20T23:59:45,575.106,5.3076,527.34,566.71,588.71,614.12
2014-02-21T00:12:19,2014-02-21T12:01:56,2014-02-21T23:51:33,574.814,5.55032,527.34,566.71,588.71,614.12
2014-02-22T00:38:42,2014-02-22T12:19:20,2014-02-22T23:59:58,575.139,5.5727,527.34,566.71,588.71,614.12
2014-02-23T00:00:00,2014-02-23T11:49:25,2014-02-23T23:38:50,575.061,5.29559,527.34,566.71,588.71,614.12
2014-02-24T00:26:01,2014-02-24T12:12:59,2014-02-24T23:59:58,574.889,5.46461,527.34,566.71,588.71,614.12
2014-02-25T00:00:00,2014-02-25T11:43:01,2014-02-25T23:26:03,575.617,6.26514,527.34,566.71,588.71,614.12
2014-02-26T00:13:17,2014-02-26T12:06:37,2014-02-26T23:59:58,575.888,6.33982,527.34,566.71,588.71,614.12
2014-02-27T08:12:39,2014-02-27T15:42:57,2014-02-27T23:13:16,576.088,5.95227,527.34,566.71,588.71,614.12
2014-02-28T01:46:45,2014-02-28T12:45:33,2014-02-28T23:44:22,575.928,6.35474,527.34,566.71,588.71,614.12
2014-03-01T06:07:21,2014-03-01T15:03:39,2014-03-01T23:59:58,575.891,6.63357,527.34,566.71,588.71,614.12
2014-03-02T00:00:00,2014-03-02T04:44:08,2014-03-02T09:28:16,576.102,6.51386,527.34,566.71,588.71,614.12
2014-03-03T09:25:35,2014-03-03T13:27:21,2014-03-03T17:29:08,571.932,5.70566,527.34,566.71,588.71,614.12
2014-04-12T00:00:00,2014-04-12T11:59:59,2014-04-12T23:59:58,574.993,5.40431,527.34,566.71,588.71,614.12
2014-04-13T00:00:00,2014-04-13T11:59:59,2014-04-13T23:59:58,575.115,5.28578,527.34,566.71,588.71,614.12
2014-04-14T00:00:00,2014-04-14T11:54:43,2014-04-14T23:49:26,574.784,5.18639,527.34,566.71,588.71,614.12
2014-04-15T00:34:37,2014-04-15T12:14:58,2014-04-15T23:55:19,574.963,5.28909,527.34,566.71,588.71,614.12
2014-04-16T00:18:04,2014-04-16T11:57:06,2014-04-16T23:36:09,575.081,5.31033,527.34,566.71,588.71,614.12
2014-04-17T00:22:14,2014-04-17T12:02:23,2014-04-17T23:42:32,574.949,5.08729,527.34,566.71,588.71,614.12
2014-04-18T00:02:39,2014-04-18T11:42:49,2014-04-18T23:22:59,575.045,5.33284,527.34,566.71,588.71,614.12
2014-04-19T00:09:48,2014-04-19T12:04:53,2014-04-19T23:59:58,575.053,4.97931,527.34,566.71,588.71,614.12
2014-04-20T00:00:00,2014-04-20T11:59:59,2014-04-20T23:59:58,575.009,5.06619,527.34,566.71,588.71,614.12
2014-04-21T00:00:00,2014-04-21T11:58:00,2014-04-21T23:56:01,575.049,5.26198,527.34,566.71,588.71,614.12
2014-04-22T00:43:32,2014-04-22T12:21:45,2014-04-22T23:59:58,575.073,5.14274,527.34,566.71,588.71,614.12
2014-04-23T00:00:00,2014-04-23T11:51:23,2014-04-23T23:42:47,575.062,5.26708,527.34,566.71,588.71,614.12
2014-11-03T02:54:21,2014-11-03T13:27:09,2014-11-03T23:59:58,576.16,5.79035,527.34,566.71,588.71,614.12
2014-11-05T00:47:29,2014-11-05T12:23:43,2014-11-05T23:59:58,575.545,5.15802,527.34,566.71,588.71,614.12
2014-11-06T00:11:24,2014-11-06T07:11:28,2014-11-06T14:11:32,575.234,5.03766,527.34,566.71,588.71,614.12
2014-11-07T03:01:54,2014-11-07T13:30:56,2014-11-07T23:59:58,575.456,5.17086,527.34,566.71,588.71,614.12
2014-11-27T02:03:16,2014-11-27T13:01:37,2014-11-27T23:59:58,575.123,5.98774,527.34,566.71,588.71,614.12
2014-11-28T00:00:00,2014-11-28T11:30:59,2014-11-28T23:01:58,575.498,5.24813,527.34,566.71,588.71,614.12
2014-11-29T00:01:41,2014-11-29T11:50:06,2014-11-29T23:38:32,575.413,5.32459,527.34,566.71,588.71,614.12
2014-11-30T14:49:32,2014-11-30T19:24:45,2014-11-30T23:59:58,575.691,5.42606,527.34,566.71,588.71,614.12
2014-12-01T00:00:00,2014-12-01T11:48:02,2014-12-01T23:36:05,575.449,5.6789,527.34,566.71,588.71,614.12
2014-12-02T00:31:35,2014-12-02T12:15:46,2014-12-02T23:59:58,575.257,5.54462,527.34,566.71,588.71,614.12
2014-12-03T00:00:00,2014-12-03T11:41:39,2014-12-03T23:23:19,575.508,5.76517,527.34,566.71,588.71,614.12
2014-12-04T00:16:08,2014-12-04T12:08:03,2014-12-04T23:59:58,575.298,5.6438,527.34,566.71,588.71,614.12
2014-12-05T00:00:00,2014-12-05T11:35:11,2014-12-05T23:10:23,575.505,5.37376,527.34,566.71,588.71,614.12
2014-12-06T00:00:30,2014-12-06T11:58:45,2014-12-06T23:57:01,575.33,5.5276,527.34,566.71,588.71,614.12
2014-12-07T00:45:48,2014-12-07T12:22:53,2014-12-07T23:59:58,575.258,5.37539,527.34,566.71,588.71,614.12
2014-12-08T00:00:00,2014-12-08T11:52:02,2014-12-08T23:44:04,575.451,5.29747,527.34,566.71,588.71,614.12
2014-12-09T00:32:10,2014-12-09T12:16:04,2014-12-09T23:59:58,575.134,5.47683,527.34,566.71,588.71,614.12
2014-12-10T00:00:00,2014-12-10T11:45:31,2014-12-10T23:31:02,575.444,5.18699,527.34,566.71,588.71,614.12
2014-12-11T00:19:13,2014-12-11T07:45:59,2014-12-11T15:12:45,574.988,5.11529,527.34,566.71,588.71,614.12
2014-12-12T22:19:51,2014-12-12T22:48:51,2014-12-12T23:17:52,576.153,5.22923,527.34,566.71,588.71,614.12
2014-12-13T00:06:02,2014-12-13T12:03:00,2014-12-13T23:59:58,575.31,5.23111,527.34,566.71,588.71,614.12
2014-12-14T00:00:00,2014-12-14T11:59:59,2014-12-14T23:59:58,575.306,5.28585,527.34,566.71,588.71,614.12
2014-12-15T00:00:00,2014-12-15T11:55:43,2014-12-15T23:51:27,575.3,5.28253,527.34,566.71,588.71,614.12
2014-12-16T00:39:23,2014-12-16T12:19:40,2014-12-16T23:59:58,575.222,5.31842,527.34,566.71,588.71,614.12
2014-12-17T00:00:00,2014-12-17T11:49:15,2014-12-17T23:38:31,575.335,5.55779,527.34,566.71,588.71,614.12
2014-12-18T00:26:09,2014-12-18T12:13:03,2014-12-18T23:59:58,575.167,5.34795,527.34,566.71,588.71,614.12
2014-12-19T00:00:00,2014-12-19T11:42:51,2014-12-19T23:25:43,575.275,5.50713,527.34,566.71,588.71,614.12
2014-12-20T00:12:56,2014-12-20T12:06:27,2014-12-20T23:59:58,575.437,5.59055,527.34,566.71,588.71,614.12
2014-12-21T00:00:00,2014-12-21T11:59:59,2014-12-21T23:59:58,574.999,5.13057,527.34,566.71,588.71,614.12
2014-12-22T00:00:00,2014-12-22T11:59:52,2014-12-22T23:59:44,575.549,5.3459,527.34,566.71,588.71,614.12
2014-12-23T00:46:00,2014-12-23T12:22:59,2014-12-23T23:59:58,575.204,5.53028,527.34,566.71,588.71,614.12
2014-12-24T00:00:00,2014-12-24T11:53:44,2014-12-24T23:47:28,575.277,5.41666,527.34,566.71,588.71,614.12
2014-12-25T00:32:58,2014-12-25T12:08:38,2014-12-25T23:44:19,575.522,5.47265,527.34,566.71,588.71,614.12
2014-12-27T00:19:52,2014-12-27T12:09:55,2014-12-27T23:59:58,575.55,5.54096,527.34,566.71,588.71,614.12
2014-12-28T00:00:00,2014-12-28T11:41:45,2014-12-28T23:23:31,575.107,5.34618,527.34,566.71,588.71,614.12
2014-12-29T00:07:16,2014-12-29T12:03:37,2014-12-29T23:59:58,575.27,5.50684,527.34,566.71,588.71,614.12
2014-12-30T00:00:00,2014-12-30T11:59:09,2014-12-30T23:58:19,575.286,5.5457,527.34,566.71,588.71,614.12
2014-12-31T00:29:26,2014-12-31T12:14:25,2014-12-31T23:59:25,575.113,5.41634,527.34,566.71,588.71,614.12
2015-01-01T01:19:31,2015-01-01T12:10:03,2015-01-01T23:00:36,575.256,5.38061,527.34,566.71,588.71,614.12
2015-01-02T00:16:14,2015-01-02T12:02:06,2015-01-02T23:47:58,574.941,5.57043,527.34,566.71,588.71,614.12
2015-01-03T01:06:16,2015-01-03T11:57:29,2015-01-03T22:48:43,575.119,5.5899,527.34,566.71,588.71,614.12
2015-01-04T00:02:45,2015-01-04T11:49:24,2015-01-04T23:36:03,575.047,5.36077,527.34,566.71,588.71,614.12
2015-01-05T00:52:49,2015-01-05T12:26:23,2015-01-05T23:59:58,575.165,5.5469,527.34,566.71,588.71,614.12
2015-01-06T00:00:00,2015-01-06T11:42:07,2015-01-06T23:24:14,574.99,5.37452,527.34,566.71,588.71,614.12
2015-01-07T00:39:37,2015-01-07T12:19:47,2015-01-07T23:59:58,574.836,5.46407,527.34,566.71,588.71,614.12
2015-01-08T00:00:00,2015-01-08T11:35:56,2015-01-08T23:11:53,575.003,5.4649,527.34,566.71,588.71,614.12
2015-01-09T00:26:22,2015-01-09T12:12:33,2015-01-09T23:58:45,574.833,5.70542,527.34,566.71,588.71,614.12
2015-01-10T01:17:03,2015-01-10T12:08:13,2015-01-10T22:59:24,574.925,5.53517,527.34,566.71,588.71,614.12
2015-01-11T00:13:19,2015-01-11T11:59:45,2015-01-11T23:46:12,574.877,5.50252,527.34,566.71,588.71,614.12
2015-01-12T01:04:17,2015-01-12T11:55:30,2015-01-12T22:46:44,575.051,5.62489,527.34,566.71,588.71,614.12
2015-01-13T00:00:22,2015-01-13T11:46:53,2015-01-13T23:33:24,574.861,5.33731,527.34,566.71,588.71,614.12
2015-01-14T00:51:36,2015-01-14T12:25:47,2015-01-14T23:59:58,574.725,5.49543,527.34,566.71,588.71,614.12
2015-01-15T00:00:00,2015-01-15T11:40:05,2015-01-15T23:20:10,575.044,5.54352,527.34,566.71,588.71,614.12
2015-01-16T00:38:51,2015-01-16T12:19:24,2015-01-16T23:59:58,574.712,5.54364,527.34,566.71,588.71,614.12
2015-01-17T00:00:00,2015-01-17T11:33:33,2015-01-17T23:07:06,575.023,5.50511,527.34,566.71,588.71,614.12
2015-01-18T00:26:19,2015-01-18T12:09:58,2015-01-18T23:53:38,574.675,5.48846,527.34,566.71,588.71,614.12
2015-01-19T01:18:01,2015-01-19T12:06:00,2015-01-19T22:54:00,574.818,5.32021,527.34,566.71,588.71,614.12
2015-01-20T00:13:48,2015-01-20T11:57:10,2015-01-20T23:40:32,575.051,5.66135,527.34,566.71,588.71,614.12
2015-01-21T01:05:23,2015-01-21T11:53:08,2015-01-21T22:40:54,574.741,5.39357,527.34,566.71,588.71,614.12
2015-01-22T00:01:15,2015-01-22T11:44:13,2015-01-22T23:27:11,574.968,5.44948,527.34,566.71,588.71,614.12
2015-01-23T00:50:35,2015-01-23T12:25:16,2015-01-23T23:59:58,574.855,5.49605,527.34,566.71,588.71,614.12
2015-01-24T00:00:00,2015-01-24T11:37:04,2015-01-24T23:14:09,574.914,5.30318,527.34,566.71,588.71,614.12
2015-01-25T00:35:01,2015-01-25T12:17:29,2015-01-25T23:59:58,574.889,5.54843,527.34,566.71,588.71,614.12
2015-01-26T00:00:00,2015-01-26T11:30:35,2015-01-26T23:01:11,574.94,5.47511,527.34,566.71,588.71,614.12
