#time_s,time_m,time_e,pos,fwhm,slit1,slit2,slit3,slit4
2017-01-01T00:57:09,2017-01-01T01:01:09,2017-01-01T01:05:09,556.63,4.9829,525.38,559.39,581.39,614.06
2017-01-01T01:06:09,2017-01-01T01:10:09,2017-01-01T01:14:09,555.715,5.60763,525.38,559.39,581.39,614.06
2017-01-01T01:15:09,2017-01-01T01:19:39,2017-01-01T01:24:09,555.695,5.67573,525.38,559.39,581.39,614.06
2017-01-01T01:25:09,2017-01-01T01:29:39,2017-01-01T01:34:09,555.668,5.45175,525.38,559.39,581.39,614.06
2017-01-01T01:35:09,2017-01-01T01:35:09,2017-01-01T01:35:09,555.481,5.80681,525.38,559.39,581.39,614.06
2017-01-01T02:47:09,2017-01-01T02:49:09,2017-01-01T02:51:09,556.866,5.19685,525.38,559.39,581.39,614.06
2017-01-01T02:52:09,2017-01-01T02:56:09,2017-01-01T03:00:09,556.735,5.26299,525.38,559.39,581.39,614.06
2017-01-01T03:01:09,2017-01-01T03:05:39,2017-01-01T03:10:09,556.711,5.18898,525.38,559.39,581.39,614.06
2017-01-01T03:11:09,2017-01-01T03:16:09,2017-01-01T03:21:09,557.141,5.50784,525.38,559.39,581.39,614.06
2017-01-01T03:22:09,2017-01-01T03:22:09,2017-01-01T03:22:09,557.327,4.73322,525.38,559.39,581.39,614.06
2017-01-01T04:33:09,2017-01-01T04:35:09,2017-01-01T04:37:09,560.372,6.5198,525.38,559.39,581.39,614.06
2017-01-01T04:38:09,2017-01-01T04:42:39,2017-01-01T04:47:09,559.492,6.53284,525.38,559.39,581.39,614.06
2017-01-01T04:48:09,2017-01-01T04:52:39,2017-01-01T04:57:09,559.622,6.93725,525.38,559.39,581.39,614.06
2017-01-01T04:58:09,2017-01-01T05:02:39,2017-01-01T05:07:09,561.146,6.30984,525.38,559.39,581.39,614.06
2017-01-01T05:08:09,2017-01-01T05:08:09,2017-01-01T05:08:09,561.168,5.91711,525.38,559.39,581.39,614.06
2017-01-01T06:19:09,2017-01-01T06:21:09,2017-01-01T06:23:09,560.845,6.83034,525.38,559.39,581.39,614.06
2017-01-01T06:24:09,2017-01-01T06:28:39,2017-01-01T06:33:09,559.47,6.71148,525.38,559.39,581.39,614.06
2017-01-01T06:34:09,2017-01-01T06:38:39,2017-01-01T06:43:09,558.381,5.7146,525.38,559.39,581.39,614.06
2017-01-01T06:44:09,2017-01-01T06:48:39,2017-01-01T06:53:09,558.43,6.16278,525.38,559.39,581.39,614.06
2017-01-01T06:54:09,2017-01-01T06:54:09,2017-01-01T06:54:09,559.203,5.97321,525.38,559.39,581.39,614.06
2017-01-01T08:05:09,2017-01-01T08:07:09,2017-01-01T08:09:09,560.691,7.20126,525.38,559.39,581.39,614.06
2017-01-01T08:10:09,2017-01-01T08:14:39,2017-01-01T08:19:09,559.464,6.8396,525.38,559.39,581.39,614.06
